symbol,variant,trades,net_pnl_usd,avg_r,profit_factor,max_drawdown_pct,last_30pct_avg_r,counts,extra_trades_vs_baseline
GBPUSD,MACD yönü (macd_confirmation_enabled) KAPALI,2,-11.298724353075812,-0.1130164207989715,0.0,0.11298724353076978,-0.07982298643535587,"{'Giriş için incelenen mum': 49751, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 238, 'Giriş modeli': 5, 'RSI yönü': 5, 'RSI uyumsuzluğu': 5, 'Oynaklık': 5, 'MACD yönü': 5, 'MACD uyumsuzluğu': 2, 'İşlem saatleri': 2, 'İşlemler arası bekleme': 2, 'Aynı yönde tekrar': 2, 'Açılan işlem': 2}",0.0
GBPUSD,MACD uyumsuzluğu (macd_divergence_filter_enabled) KAPALI,4,-23.57858008064212,-0.11718145982011706,0.5644181392704238,0.539711935751595,-0.49096567279143316,"{'Giriş için incelenen mum': 49703, 'Yön ve skor': 2042, 'Üst zaman dilimi yapısı': 224, 'Giriş modeli': 5, 'RSI yönü': 5, 'RSI uyumsuzluğu': 5, 'Oynaklık': 5, 'MACD yönü': 5, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 4, 'Aynı yönde tekrar': 4, 'Açılan işlem': 4}",2.0
GBPUSD,Ana Yön / MA+yapı (market_structure_enabled) KAPALI,73,-273.5427129220344,-0.07398211706446225,0.82722915416331,4.630439582416079,-0.14722396007754418,"{'Giriş için incelenen mum': 48726, 'Yön ve skor': 1384, 'Üst zaman dilimi yapısı': 1384, 'Giriş modeli': 1384, 'RSI yönü': 1279, 'RSI uyumsuzluğu': 1089, 'Oynaklık': 1000, 'MACD yönü': 751, 'MACD uyumsuzluğu': 595, 'İşlem saatleri': 595, 'İşlemler arası bekleme': 314, 'Aynı yönde tekrar': 73, 'Açılan işlem': 73}",71.0
EURCHF,BASELINE (tum filtreler ON),5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,"{'Giriş için incelenen mum': 49729, 'Yön ve skor': 2419, 'Üst zaman dilimi yapısı': 611, 'Giriş modeli': 23, 'RSI yönü': 23, 'RSI uyumsuzluğu': 13, 'Oynaklık': 13, 'MACD yönü': 12, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",
EURCHF,RSI yönü (rsi_regime_enabled) KAPALI,5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,"{'Giriş için incelenen mum': 49729, 'Yön ve skor': 2419, 'Üst zaman dilimi yapısı': 611, 'Giriş modeli': 23, 'RSI yönü': 23, 'RSI uyumsuzluğu': 13, 'Oynaklık': 13, 'MACD yönü': 12, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
EURCHF,RSI uyumsuzluğu (rsi_divergence_filter_enabled) KAPALI,7,-207.16484662886415,-0.5958176761790324,0.20788007560360258,2.0716484662886248,-0.7563419543068793,"{'Giriş için incelenen mum': 49707, 'Yön ve skor': 2406, 'Üst zaman dilimi yapısı': 598, 'Giriş modeli': 22, 'RSI yönü': 22, 'RSI uyumsuzluğu': 22, 'Oynaklık': 21, 'MACD yönü': 20, 'MACD uyumsuzluğu': 7, 'İşlem saatleri': 7, 'İşlemler arası bekleme': 7, 'Aynı yönde tekrar': 7, 'Açılan işlem': 7}",2.0
EURCHF,Bollinger oynaklığı (bb_extreme_volatility_block) KAPALI,5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,"{'Giriş için incelenen mum': 49729, 'Yön ve skor': 2419, 'Üst zaman dilimi yapısı': 611, 'Giriş modeli': 23, 'RSI yönü': 23, 'RSI uyumsuzluğu': 13, 'Oynaklık': 13, 'MACD yönü': 12, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
EURCHF,MACD yönü (macd_confirmation_enabled) KAPALI,5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,"{'Giriş için incelenen mum': 49729, 'Yön ve skor': 2419, 'Üst zaman dilimi yapısı': 611, 'Giriş modeli': 23, 'RSI yönü': 23, 'RSI uyumsuzluğu': 13, 'Oynaklık': 13, 'MACD yönü': 13, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
EURCHF,MACD uyumsuzluğu (macd_divergence_filter_enabled) KAPALI,8,-188.51175839348508,-0.47383262797084186,0.2420912225254235,1.9850499375000143,-1.0,"{'Giriş için incelenen mum': 49666, 'Yön ve skor': 2389, 'Üst zaman dilimi yapısı': 591, 'Giriş modeli': 20, 'RSI yönü': 20, 'RSI uyumsuzluğu': 10, 'Oynaklık': 10, 'MACD yönü': 9, 'MACD uyumsuzluğu': 9, 'İşlem saatleri': 9, 'İşlemler arası bekleme': 9, 'Aynı yönde tekrar': 8, 'Açılan işlem': 8}",3.0
EURCHF,Ana Yön / MA+yapı (market_structure_enabled) KAPALI,78,-1375.0545673824543,-0.37703877511852124,0.3574986270819882,14.84974802127483,-0.45100931054384663,"{'Giriş için incelenen mum': 48719, 'Yön ve skor': 1603, 'Üst zaman dilimi yapısı': 1603, 'Giriş modeli': 1603, 'RSI yönü': 1537, 'RSI uyumsuzluğu': 1324, 'Oynaklık': 1219, 'MACD yönü': 1019, 'MACD uyumsuzluğu': 719, 'İşlem saatleri': 719, 'İşlemler arası bekleme': 424, 'Aynı yönde tekrar': 78, 'Açılan işlem': 78}",73.0
AUDCAD,BASELINE (tum filtreler ON),5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,"{'Giriş için incelenen mum': 49441, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 302, 'Giriş modeli': 11, 'RSI yönü': 11, 'RSI uyumsuzluğu': 9, 'Oynaklık': 9, 'MACD yönü': 9, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",
AUDCAD,RSI yönü (rsi_regime_enabled) KAPALI,5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,"{'Giriş için incelenen mum': 49441, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 302, 'Giriş modeli': 11, 'RSI yönü': 11, 'RSI uyumsuzluğu': 9, 'Oynaklık': 9, 'MACD yönü': 9, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
AUDCAD,RSI uyumsuzluğu (rsi_divergence_filter_enabled) KAPALI,5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,"{'Giriş için incelenen mum': 49441, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 302, 'Giriş modeli': 11, 'RSI yönü': 11, 'RSI uyumsuzluğu': 11, 'Oynaklık': 11, 'MACD yönü': 11, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
AUDCAD,Bollinger oynaklığı (bb_extreme_volatility_block) KAPALI,5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,"{'Giriş için incelenen mum': 49441, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 302, 'Giriş modeli': 11, 'RSI yönü': 11, 'RSI uyumsuzluğu': 9, 'Oynaklık': 9, 'MACD yönü': 9, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
AUDCAD,MACD yönü (macd_confirmation_enabled) KAPALI,5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,"{'Giriş için incelenen mum': 49441, 'Yön ve skor': 2068, 'Üst zaman dilimi yapısı': 302, 'Giriş modeli': 11, 'RSI yönü': 11, 'RSI uyumsuzluğu': 9, 'Oynaklık': 9, 'MACD yönü': 9, 'MACD uyumsuzluğu': 5, 'İşlem saatleri': 5, 'İşlemler arası bekleme': 5, 'Aynı yönde tekrar': 5, 'Açılan işlem': 5}",0.0
AUDCAD,MACD uyumsuzluğu (macd_divergence_filter_enabled) KAPALI,7,-199.30474636316058,-0.5729731373145548,0.2141754089181391,1.9930474636316104,-1.0000000000000278,"{'Giriş için incelenen mum': 49424, 'Yön ve skor': 2055, 'Üst zaman dilimi yapısı': 289, 'Giriş modeli': 9, 'RSI yönü': 9, 'RSI uyumsuzluğu': 7, 'Oynaklık': 7, 'MACD yönü': 7, 'MACD uyumsuzluğu': 7, 'İşlem saatleri': 7, 'İşlemler arası bekleme': 7, 'Aynı yönde tekrar': 7, 'Açılan işlem': 7}",2.0
AUDCAD,Ana Yön / MA+yapı (market_structure_enabled) KAPALI,70,-902.9734710932106,-0.2680328026669453,0.5206060404161197,9.029734710932098,-0.32675861466655054,"{'Giriş için incelenen mum': 48521, 'Yön ve skor': 1445, 'Üst zaman dilimi yapısı': 1445, 'Giriş modeli': 1445, 'RSI yönü': 1357, 'RSI uyumsuzluğu': 1134, 'Oynaklık': 1018, 'MACD yönü': 784, 'MACD uyumsuzluğu': 555, 'İşlem saatleri': 555, 'İşlemler arası bekleme': 307, 'Aynı yönde tekrar': 70, 'Açılan işlem': 70}",65.0
USDJPY,BASELINE (tum filtreler ON),1,-4.698025344470248,-0.09396050688940497,0.0,0.04698025344470807,,"{'Giriş için incelenen mum': 49780, 'Yön ve skor': 2304, 'Üst zaman dilimi yapısı': 590, 'Giriş modeli': 19, 'RSI yönü': 18, 'RSI uyumsuzluğu': 11, 'Oynaklık': 10, 'MACD yönü': 9, 'MACD uyumsuzluğu': 1, 'İşlem saatleri': 1, 'İşlemler arası bekleme': 1, 'Aynı yönde tekrar': 1, 'Açılan işlem': 1}",
USDJPY,RSI yönü (rsi_regime_enabled) KAPALI,2,-54.674535217747895,-0.5469802534447025,0.0,0.5467453521774769,-1.0,"{'Giriş için incelenen mum': 49768, 'Yön ve skor': 2294, 'Üst zaman dilimi yapısı': 581, 'Giriş modeli': 19, 'RSI yönü': 19, 'RSI uyumsuzluğu': 12, 'Oynaklık': 11, 'MACD yönü': 10, 'MACD uyumsuzluğu': 2, 'İşlem saatleri': 2, 'İşlemler arası bekleme': 2, 'Aynı yönde tekrar': 2, 'Açılan işlem': 2}",1.0
USDJPY,RSI uyumsuzluğu (rsi_divergence_filter_enabled) KAPALI,2,-54.674535217747895,-0.5469802534447025,0.0,0.5467453521774769,-1.0,"{'Giriş için incelenen mum': 49770, 'Yön ve skor': 2297, 'Üst zaman dilimi yapısı': 583, 'Giriş modeli': 19, 'RSI yönü': 18, 'RSI uyumsuzluğu': 18, 'Oynaklık': 17, 'MACD yönü': 16, 'MACD uyumsuzluğu': 2, 'İşlem saatleri': 2, 'İşlemler arası bekleme': 2, 'Aynı yönde tekrar': 2, 'Açılan işlem': 2}",1.0
USDJPY,Bollinger oynaklığı (bb_extreme_volatility_block) KAPALI,2,-7.793158434539345,-0.07794613219371112,0.0,0.07793158434540601,-0.06193175749801727,"{'Giriş için incelenen mum': 49756, 'Yön ve skor': 2282, 'Üst zaman dilimi yapısı': 572, 'Giriş modeli': 18, 'RSI yönü': 17, 'RSI uyumsuzluğu': 11, 'Oynaklık': 11, 'MACD yönü': 10, 'MACD uyumsuzluğu': 2, 'İşlem saatleri': 2, 'İşlemler arası bekleme': 2, 'Aynı yönde tekrar': 2, 'Açılan işlem': 2}",1.0
USDJPY,MACD yönü (macd_confirmation_enabled) KAPALI,1,-4.698025344470248,-0.09396050688940497,0.0,0.04698025344470807,,"{'Giriş için incelenen mum': 49780, 'Yön ve skor': 2304, 'Üst zaman dilimi yapısı': 590, 'Giriş modeli': 19, 'RSI yönü': 18, 'RSI uyumsuzluğu': 11, 'Oynaklık': 10, 'MACD yönü': 10, 'MACD uyumsuzluğu': 1, 'İşlem saatleri': 1, 'İşlemler arası bekleme': 1, 'Aynı yönde tekrar': 1, 'Açılan işlem': 1}",0.0
USDJPY,MACD uyumsuzluğu (macd_divergence_filter_enabled) KAPALI,7,-47.6373630387458,-0.13450707785806185,0.6951931912071107,1.0440116254166,0.037154810292323086,"{'Giriş için incelenen mum': 49706, 'Yön ve skor': 2234, 'Üst zaman dilimi yapısı': 542, 'Giriş modeli': 17, 'RSI yönü': 16, 'RSI uyumsuzluğu': 10, 'Oynaklık': 9, 'MACD yönü': 8, 'MACD uyumsuzluğu': 8, 'İşlem saatleri': 8, 'İşlemler arası bekleme': 8, 'Aynı yönde tekrar': 7, 'Açılan işlem': 7}",6.0
USDJPY,Ana Yön / MA+yapı (market_structure_enabled) KAPALI,78,-359.22446877709837,-0.09178891545236666,0.79088087719041,6.15647894363475,0.005432394117723116,"{'Giriş için incelenen mum': 48762, 'Yön ve skor': 1584, 'Üst zaman dilimi yapısı': 1584, 'Giriş modeli': 1584, 'RSI yönü': 1505, 'RSI uyumsuzluğu': 1250, 'Oynaklık': 1135, 'MACD yönü': 896, 'MACD uyumsuzluğu': 702, 'İşlem saatleri': 702, 'İşlemler arası bekleme': 398, 'Aynı yönde tekrar': 78, 'Açılan işlem': 78}",77.0
