symbol,threshold,cost_pips,trades,coverage,selected_accuracy,mean_net_bps,sum_net_bps,net_win_rate
AUDCAD,0.5,0.0,2759,1.0,0.5338890902500906,1.3939657407055326,3845.9514786065643,0.5328017397607829
AUDCAD,0.5,1.5,2759,1.0,0.5338890902500906,-0.2496858514395724,-688.8832641217803,0.48133381660021746
AUDCAD,0.5,3.0,2759,1.0,0.5338890902500906,-1.8933374435846777,-5223.718006850126,0.43928959768031894
AUDCAD,0.55,0.0,602,0.21819499818774918,0.5963455149501661,2.982290459043938,1795.3388563444505,0.5930232558139535
AUDCAD,0.55,1.5,602,0.21819499818774918,0.5963455149501661,1.3432914100255358,808.6614288353725,0.5232558139534884
AUDCAD,0.55,3.0,602,0.21819499818774918,0.5963455149501661,-0.29570763899286634,-178.01599867370552,0.4750830564784053
AUDCAD,0.6,0.0,36,0.013048205871692642,0.5833333333333334,4.83890349392844,174.20052578142383,0.5833333333333334
AUDCAD,0.6,1.5,36,0.013048205871692642,0.5833333333333334,3.210297061214159,115.57069420370972,0.5277777777777778
AUDCAD,0.6,3.0,36,0.013048205871692642,0.5833333333333334,1.5816906284998773,56.940862625995585,0.4722222222222222
AUDCAD,0.65,0.0,0,0.0,,,0.0,
AUDCAD,0.65,1.5,0,0.0,,,0.0,
AUDCAD,0.65,3.0,0,0.0,,,0.0,
AUDCAD,0.7,0.0,0,0.0,,,0.0,
AUDCAD,0.7,1.5,0,0.0,,,0.0,
AUDCAD,0.7,3.0,0,0.0,,,0.0,
AUDCHF,0.5,0.0,2615,1.0,0.5617590822179732,2.2700949241116875,5936.298226552063,0.558699808795411
AUDCHF,0.5,1.5,2615,1.0,0.5617590822179732,-0.3771341678476871,-986.2058489217018,0.491395793499044
AUDCHF,0.5,3.0,2615,1.0,0.5617590822179732,-3.024363259807062,-7908.709924395467,0.42638623326959846
AUDCHF,0.55,0.0,662,0.2531548757170172,0.6419939577039275,4.442933563187371,2941.22201883004,0.6359516616314199
AUDCHF,0.55,1.5,662,0.2531548757170172,0.6419939577039275,1.7969108542625087,1189.5549855217807,0.5634441087613293
AUDCHF,0.55,3.0,662,0.2531548757170172,0.6419939577039275,-0.8491118546623536,-562.1120477864781,0.4818731117824773
AUDCHF,0.6,0.0,35,0.01338432122370937,0.6571428571428571,4.423891877867244,154.83621572535353,0.6571428571428571
AUDCHF,0.6,1.5,35,0.01338432122370937,0.6571428571428571,1.7936496670576787,62.777738347018754,0.6571428571428571
AUDCHF,0.6,3.0,35,0.01338432122370937,0.6571428571428571,-0.8365925437518864,-29.280739031316024,0.5428571428571428
AUDCHF,0.65,0.0,3,0.001147227533460803,0.6666666666666666,2.839029589258857,8.51708876777657,0.6666666666666666
AUDCHF,0.65,1.5,3,0.001147227533460803,0.6666666666666666,0.2313575072946857,0.6940725218840571,0.6666666666666666
AUDCHF,0.65,3.0,3,0.001147227533460803,0.6666666666666666,-2.3763145746694856,-7.128943724008456,0.6666666666666666
AUDCHF,0.7,0.0,2,0.0007648183556405354,0.5,0.5286252277181269,1.0572504554362538,0.5
AUDCHF,0.7,1.5,2,0.0007648183556405354,0.5,-2.0817483058662063,-4.163496611732413,0.5
AUDCHF,0.7,3.0,2,0.0007648183556405354,0.5,-4.6921218394505395,-9.384243678901079,0.5
AUDJPY,0.5,0.0,2488,1.0,0.52491961414791,0.4706116564457753,1170.881801237089,0.5237138263665595
AUDJPY,0.5,1.5,2488,1.0,0.52491961414791,-1.0358381888804744,-2577.16541393462,0.4879421221864952
AUDJPY,0.5,3.0,2488,1.0,0.52491961414791,-2.542288034206724,-6325.212629106329,0.4509646302250804
AUDJPY,0.55,0.0,322,0.12942122186495178,0.5652173913043478,2.071328467865696,666.9677666527541,0.5652173913043478
AUDJPY,0.55,1.5,322,0.12942122186495178,0.5652173913043478,0.5764180209143605,185.60660273442406,0.5279503105590062
AUDJPY,0.55,3.0,322,0.12942122186495178,0.5652173913043478,-0.918492426036975,-295.75456118390593,0.4937888198757764
AUDJPY,0.6,0.0,0,0.0,,,0.0,
AUDJPY,0.6,1.5,0,0.0,,,0.0,
AUDJPY,0.6,3.0,0,0.0,,,0.0,
AUDJPY,0.65,0.0,0,0.0,,,0.0,
AUDJPY,0.65,1.5,0,0.0,,,0.0,
AUDJPY,0.65,3.0,0,0.0,,,0.0,
AUDJPY,0.7,0.0,0,0.0,,,0.0,
AUDJPY,0.7,1.5,0,0.0,,,0.0,
AUDJPY,0.7,3.0,0,0.0,,,0.0,
AUDNZD,0.5,0.0,2617,1.0,0.5368742835307604,0.970415138727334,2539.576418049433,0.5361100496752006
AUDNZD,0.5,1.5,2617,1.0,0.5368742835307604,-0.38002939668608376,-994.5369311274812,0.47841039358043563
AUDNZD,0.5,3.0,2617,1.0,0.5368742835307604,-1.7304739320995017,-4528.650280304396,0.4203286205578907
AUDNZD,0.55,0.0,802,0.3064577760794803,0.600997506234414,1.7082196635909415,1369.9921701999351,0.5985037406483791
AUDNZD,0.55,1.5,802,0.3064577760794803,0.600997506234414,0.3640393791519425,291.9595820798579,0.5249376558603491
AUDNZD,0.55,3.0,802,0.3064577760794803,0.600997506234414,-0.9801409052870568,-786.0730060402195,0.4488778054862843
AUDNZD,0.6,0.0,493,0.18838364539549102,0.6206896551724138,2.1452890745644644,1057.6275137602809,0.6186612576064908
AUDNZD,0.6,1.5,493,0.18838364539549102,0.6206896551724138,0.801627348550772,395.2022828355306,0.537525354969574
AUDNZD,0.6,3.0,493,0.18838364539549102,0.6206896551724138,-0.5420343774629203,-267.2229480892197,0.4563894523326572
AUDNZD,0.65,0.0,242,0.09247229652273596,0.6487603305785123,2.7789084856411628,672.4958535251614,0.6487603305785123
AUDNZD,0.65,1.5,242,0.09247229652273596,0.6487603305785123,1.4310523123216976,346.31465958185083,0.5578512396694215
AUDNZD,0.65,3.0,242,0.09247229652273596,0.6487603305785123,0.08319613900223259,20.133465638540287,0.47520661157024796
AUDNZD,0.7,0.0,79,0.030187237294612153,0.7215189873417721,3.560401885343589,281.2717489421435,0.7215189873417721
AUDNZD,0.7,1.5,79,0.030187237294612153,0.7215189873417721,2.2179711658177,175.2197220995983,0.5949367088607594
AUDNZD,0.7,3.0,79,0.030187237294612153,0.7215189873417721,0.8755404462918119,69.16769525705314,0.5316455696202531
AUDUSD,0.5,0.0,2810,1.0,0.5202846975088968,0.5798229833481924,1629.3025832084206,0.5195729537366548
AUDUSD,0.5,1.5,2810,1.0,0.5202846975088968,-1.6781994176229509,-4715.740363520492,0.47259786476868326
AUDUSD,0.5,3.0,2810,1.0,0.5202846975088968,-3.936221818594094,-11060.783310249404,0.42597864768683275
AUDUSD,0.55,0.0,236,0.08398576512455516,0.5508474576271186,1.9141301383670393,451.73471265462126,0.5466101694915254
AUDUSD,0.55,1.5,236,0.08398576512455516,0.5508474576271186,-0.3357025085126612,-79.22579200898804,0.4957627118644068
AUDUSD,0.55,3.0,236,0.08398576512455516,0.5508474576271186,-2.5855351553923605,-610.1862966725971,0.461864406779661
AUDUSD,0.6,0.0,1,0.00035587188612099647,0.0,-13.096212515812944,-13.096212515812944,0.0
AUDUSD,0.6,1.5,1,0.00035587188612099647,0.0,-15.32852146737184,-15.32852146737184,0.0
AUDUSD,0.6,3.0,1,0.00035587188612099647,0.0,-17.560830418930735,-17.560830418930735,0.0
AUDUSD,0.65,0.0,0,0.0,,,0.0,
AUDUSD,0.65,1.5,0,0.0,,,0.0,
AUDUSD,0.65,3.0,0,0.0,,,0.0,
AUDUSD,0.7,0.0,0,0.0,,,0.0,
AUDUSD,0.7,1.5,0,0.0,,,0.0,
AUDUSD,0.7,3.0,0,0.0,,,0.0,
CADCHF,0.5,0.0,1906,1.0,0.5535152151101784,1.3682488281226275,2607.882266401728,0.5519412381951732
CADCHF,0.5,1.5,1906,1.0,0.5535152151101784,-1.087450272566242,-2072.6802195112573,0.459601259181532
CADCHF,0.5,3.0,1906,1.0,0.5535152151101784,-3.5431493732551114,-6753.242705424243,0.378803777544596
CADCHF,0.55,0.0,613,0.3216159496327387,0.6182707993474714,4.0395640562496355,2476.2527664810264,0.6150081566068516
CADCHF,0.55,1.5,613,0.3216159496327387,0.6182707993474714,1.5878186454105823,973.3328296366869,0.531810766721044
CADCHF,0.55,3.0,613,0.3216159496327387,0.6182707993474714,-0.8639267654284708,-529.5871072076526,0.4551386623164764
CADCHF,0.6,0.0,129,0.0676810073452256,0.6589147286821705,5.081752275216419,655.5460435029181,0.6589147286821705
CADCHF,0.6,1.5,129,0.0676810073452256,0.6589147286821705,2.64243607171625,340.8742532513962,0.5891472868217055
CADCHF,0.6,3.0,129,0.0676810073452256,0.6589147286821705,0.2031198682160794,26.202462999874243,0.5038759689922481
CADCHF,0.65,0.0,0,0.0,,,0.0,
CADCHF,0.65,1.5,0,0.0,,,0.0,
CADCHF,0.65,3.0,0,0.0,,,0.0,
CADCHF,0.7,0.0,0,0.0,,,0.0,
CADCHF,0.7,1.5,0,0.0,,,0.0,
CADCHF,0.7,3.0,0,0.0,,,0.0,
CADJPY,0.5,0.0,2687,1.0,0.5202828433196874,0.2649385079685003,711.8897709113603,0.5199106810569408
CADJPY,0.5,1.5,2687,1.0,0.5202828433196874,-1.1181249593167992,-3004.4017656842398,0.48604391514700407
CADJPY,0.5,3.0,2687,1.0,0.5202828433196874,-2.501188426602099,-6720.693302279839,0.4484555266096018
CADJPY,0.55,0.0,26,0.009676218831410495,0.38461538461538464,-3.553267655884194,-92.38495905298905,0.38461538461538464
CADJPY,0.55,1.5,26,0.009676218831410495,0.38461538461538464,-4.908892433842551,-127.63120327990633,0.3076923076923077
CADJPY,0.55,3.0,26,0.009676218831410495,0.38461538461538464,-6.264517211800909,-162.87744750682364,0.3076923076923077
CADJPY,0.6,0.0,0,0.0,,,0.0,
CADJPY,0.6,1.5,0,0.0,,,0.0,
CADJPY,0.6,3.0,0,0.0,,,0.0,
CADJPY,0.65,0.0,0,0.0,,,0.0,
CADJPY,0.65,1.5,0,0.0,,,0.0,
CADJPY,0.65,3.0,0,0.0,,,0.0,
CADJPY,0.7,0.0,0,0.0,,,0.0,
CADJPY,0.7,1.5,0,0.0,,,0.0,
CADJPY,0.7,3.0,0,0.0,,,0.0,
CHFJPY,0.5,0.0,2755,1.0,0.5088929219600726,-0.001332085831944338,-3.6698964670066516,0.5074410163339383
CHFJPY,0.5,1.5,2755,1.0,0.5088929219600726,-0.8687265266434397,-2393.3415809026765,0.48021778584392016
CHFJPY,0.5,3.0,2755,1.0,0.5088929219600726,-1.7361209674549347,-4783.013265338345,0.46025408348457353
CHFJPY,0.55,0.0,307,0.11143375680580762,0.5863192182410424,3.436932179264692,1055.1381790342605,0.5798045602605864
CHFJPY,0.55,1.5,307,0.11143375680580762,0.5863192182410424,2.5785132695362187,791.6035737476192,0.5537459283387622
