task,horizon,bundle,model,accuracy,balanced_accuracy,ba_std,auc,brier,baseline_brier,majority_accuracy,persistence_balanced_accuracy,evaluations,selection_score
high_volatility,72,fomc,logistic,0.6582317113659517,0.6278744931303362,0.037199491726861,0.701528393657045,0.2111870235062816,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.6092747472669057
high_volatility,72,cot_exploratory,logistic,0.6533210442329072,0.6243154160996294,0.038868760191771975,0.689982468734493,0.21605904346564292,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.6048810360037434
high_volatility,72,context,logistic,0.6552074129144488,0.6157273387221445,0.03509938098665266,0.6910861149820452,0.21238473134762054,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5981776482288181
high_volatility,72,fomc,xgboost,0.6453645394928483,0.6106918757911016,0.026308024358530205,0.6775815255157323,0.21862046731254062,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5975378636118365
high_volatility,72,fomc,hist_boost,0.6418252406157999,0.6085831229637633,0.029353396984926127,0.6768812874506406,0.21953557974436808,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5939064244713002
high_volatility,72,fomc,catboost,0.6429178404881201,0.6106435934389184,0.03428197440830016,0.6793075459482728,0.21889170773838534,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5935026062347684
high_volatility,4,context,hist_boost,0.7549416496632988,0.6149262303757498,0.04516507030544841,0.7663911533559427,0.16431452420147272,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5923436952230255
high_volatility,4,fomc,hist_boost,0.7541514517505552,0.6146816145860575,0.046338119412749575,0.7668956757129218,0.16422646159284762,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5915125548796827
high_volatility,4,cot_exploratory,hist_boost,0.7542654354036753,0.6138642835945783,0.04812943860016015,0.7664555413115028,0.16436362112269867,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5897995642944983
high_volatility,4,context,xgboost,0.753817646131889,0.6097315014057765,0.04649439758492599,0.7651940720957324,0.16466817307003018,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5864843026133135
high_volatility,4,fomc,xgboost,0.7539358390920023,0.6101593988070823,0.047734660817140576,0.7654358386199936,0.16465977869678486,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.586292068398512
high_volatility,4,fomc,catboost,0.7547363653982455,0.6107523392352691,0.04914874555791825,0.7656633664098019,0.1646499050201117,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5861779664563099
high_volatility,72,cot_exploratory,xgboost,0.6356692448115682,0.6014424527245136,0.03128416806377455,0.6651885687736866,0.22196983696781675,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5858003686926263
high_volatility,4,context,catboost,0.7545105030177804,0.609311289015358,0.04804319945763902,0.7654681904214771,0.16470643701779158,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5852896892865385
high_volatility,72,cot_exploratory,hist_boost,0.629223338904163,0.5979680648142109,0.027430323976398968,0.6627695623359637,0.22285376797258502,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5842529028260115
high_volatility,72,context,hist_boost,0.6421142783123964,0.6002196858804159,0.03200446432825225,0.6685845003861192,0.21870735522263643,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5842174537162897
high_volatility,72,context,catboost,0.6441357997895857,0.6016874941657508,0.036047297245012225,0.6741283184835939,0.217481204008981,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5836638455432447
high_volatility,4,cot_exploratory,xgboost,0.7529371056618606,0.6077058526964526,0.04824795586109781,0.7649259023920031,0.16483211985620752,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5835818747659037
high_volatility,4,cot_exploratory,catboost,0.7537835263338756,0.6087007820507216,0.050292272682477594,0.7645709688918549,0.16498137137296798,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5835546457094829
high_volatility,72,context,xgboost,0.6425781803278134,0.5981464348856219,0.031278847200672824,0.6696940439383444,0.21848320328313053,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5825070112852855
high_volatility,72,cot_exploratory,catboost,0.6336108374767474,0.5970751564887304,0.03353795357598603,0.6601682445366368,0.2223655862644769,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5803061797007374
high_volatility,24,fomc,logistic,0.684797090416276,0.5931051818200033,0.03022894685257993,0.6891516816528396,0.2031714696994676,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5779907083937132
