,context,cot_exploratory,fomc,price
Yön tahmini / 4h,0.0039053353542192193,0.003619896945505352,0.0030633160577833163,0.0
Yön tahmini / 24h,0.0031784204212982337,0.00594538536217859,0.006008398387925884,0.0
Yön tahmini / 72h,0.0009852537991182908,0.008050788872770775,0.008569011756350942,0.0
Yüksek oynaklık tahmini / 4h,0.031577970340688766,0.029716619109408038,0.03229852757897622,0.0
Yüksek oynaklık tahmini / 24h,0.06307101674156379,0.059393967202257425,0.07077534716010825,0.0
Yüksek oynaklık tahmini / 72h,0.0894743930426194,0.09020653104476972,0.09963529948225469,0.0
