task,symbol,year,balanced_accuracy
high_volatility,AUDNZD,2026,0.5462794918330308
high_volatility,AUDUSD,2023,0.5658333333333333
high_volatility,AUDUSD,2024,0.7075757575757575
high_volatility,AUDUSD,2025,0.6610526315789473
high_volatility,AUDUSD,2026,0.6527777777777778
high_volatility,CADCHF,2023,0.9130434782608696
high_volatility,CADCHF,2024,0.6125
high_volatility,CADCHF,2025,0.616304347826087
high_volatility,CADCHF,2026,0.6333333333333333
high_volatility,CADJPY,2023,0.6711538461538462
high_volatility,CADJPY,2024,0.6842737094837935
high_volatility,CADJPY,2025,0.7078877005347594
high_volatility,CADJPY,2026,0.7069701280227596
high_volatility,CHFJPY,2023,0.67875
high_volatility,CHFJPY,2024,0.6506289308176101
high_volatility,CHFJPY,2025,0.5591836734693878
high_volatility,CHFJPY,2026,0.6016042780748663
high_volatility,EURAUD,2023,0.625625
high_volatility,EURAUD,2024,0.6572727272727272
high_volatility,EURAUD,2025,0.6059456040480709
high_volatility,EURAUD,2026,0.6111111111111112
high_volatility,EURCAD,2023,0.6552257266542981
high_volatility,EURCAD,2024,0.623030303030303
high_volatility,EURCAD,2025,0.6296296296296297
high_volatility,EURCAD,2026,0.6191756272401434
high_volatility,EURCHF,2023,0.6033670033670033
high_volatility,EURCHF,2024,0.6115151515151516
high_volatility,EURCHF,2025,0.5782051282051283
high_volatility,EURCHF,2026,0.5104166666666666
high_volatility,EURGBP,2023,0.6091527520098949
high_volatility,EURGBP,2024,0.6785714285714286
high_volatility,EURGBP,2025,0.659375
high_volatility,EURGBP,2026,0.6116642958748222
high_volatility,EURJPY,2023,0.6139705882352942
high_volatility,EURJPY,2024,0.7373949579831933
high_volatility,EURJPY,2025,0.6223544973544973
high_volatility,EURJPY,2026,0.7064393939393939
high_volatility,EURNZD,2023,0.6225490196078431
high_volatility,EURNZD,2024,0.8333333333333333
high_volatility,EURNZD,2025,0.6342857142857142
high_volatility,EURNZD,2026,0.47044334975369456
high_volatility,EURUSD,2023,0.6512820512820513
high_volatility,EURUSD,2024,0.5528301886792453
high_volatility,EURUSD,2025,0.5793650793650793
high_volatility,EURUSD,2026,0.7134502923976609
high_volatility,GBPAUD,2023,0.7446428571428572
high_volatility,GBPAUD,2024,0.6614906832298137
high_volatility,GBPAUD,2025,0.7491289198606272
high_volatility,GBPAUD,2026,0.7333333333333334
high_volatility,GBPCAD,2023,0.562015503875969
high_volatility,GBPCAD,2024,0.5721254355400697
high_volatility,GBPCAD,2025,0.6171112556929083
high_volatility,GBPCAD,2026,0.6042780748663101
high_volatility,GBPCHF,2023,0.6742424242424242
