entry_time,exit_time,side,entry,exit,stop,target,reason,net_r,net_pips,pnl_usd,balance
2010-01-11 21:00:00+00:00,2010-01-12 00:00:00+00:00,LONG,0.96223,0.9594247093530063,0.9594247093530063,0.9664379359704907,stop,-0.9999999999999909,-31.052906469937522,-49.999999999999545,9950.0
2010-01-15 03:00:00+00:00,2010-01-18 00:00:00+00:00,SHORT,0.95062,0.9468697430683304,0.9531201712877797,0.9468697430683304,target,1.2321592420888523,34.50256931669637,61.2999222939204,10011.29992229392
2010-01-25 03:00:00+00:00,2010-01-26 04:00:00+00:00,LONG,0.95687,0.9531875703613418,0.9531875703613418,0.9623936444579873,stop,-1.000000000000004,-39.824296386581686,-50.056499611469796,9961.24342268245
2010-01-29 08:00:00+00:00,2010-01-29 13:00:00+00:00,SHORT,0.95081,0.953783794067336,0.953783794067336,0.946349308898996,stop,-0.99999999999999,-32.73794067336,-49.806217113411755,9911.437205569038
2010-02-16 20:00:00+00:00,2010-02-17 22:00:00+00:00,LONG,0.94116,0.9384891874972213,0.9384891874972213,0.945166218754168,stop,-1.0000000000000182,-29.708125027786743,-49.55718602784609,9861.880019541191
2010-02-22 22:00:00+00:00,2010-02-23 23:00:00+00:00,LONG,0.93881,0.9425313197759899,0.9363291201493401,0.9425313197759899,target,1.2303011851367605,34.21319775989884,60.66541337859033,9922.545432919782
2010-03-02 12:00:00+00:00,2010-03-02 13:00:00+00:00,SHORT,0.93402,0.9371277812376645,0.9371277812376645,0.9293583281435032,stop,-0.9999999999999967,-34.07781237664531,-49.612727164598745,9872.932705755184
2010-03-10 00:00:00+00:00,2010-03-10 21:00:00+00:00,LONG,0.93938,0.9368531227479644,0.9368531227479644,0.9431703158780533,stop,-1.0000000000000013,-28.268772520355974,-49.364663528775985,9823.568042226407
2010-03-12 21:00:00+00:00,2010-03-16 13:00:00+00:00,SHORT,0.93194,0.9279607005740164,0.9345928662839891,0.9279607005740164,target,1.246009494548853,36.792994259836284,61.201295254803945,9884.769337481212
2010-03-23 23:00:00+00:00,2010-03-24 06:00:00+00:00,LONG,0.93395,0.9315588320064047,0.9315588320064047,0.9375367519903929,stop,-1.000000000000005,-26.91167993595289,-49.42384668740631,9835.345490793805
2010-03-29 22:00:00+00:00,2010-03-31 00:00:00+00:00,LONG,0.93616,0.9336202333011299,0.9336202333011299,0.9399696500483052,stop,-0.9999999999999911,-28.39766698870127,-49.17672745396859,9786.168763339836
2010-04-01 00:00:00+00:00,2010-04-01 18:00:00+00:00,SHORT,0.92972,0.9258472530194595,0.9323018313203604,0.9258472530194595,target,1.2397488205846012,35.7274698054052,60.66195591196214,9846.830719251799
2010-04-08 08:00:00+00:00,2010-04-08 13:00:00+00:00,LONG,0.93076,0.9340012893784418,0.9285991404143721,0.9340012893784418,target,1.1952284460355878,29.412893784418138,58.84606089473408,9905.676780146532
2010-04-21 07:00:00+00:00,2010-04-23 03:00:00+00:00,SHORT,0.92738,0.9235194862171324,0.929953675855245,0.9235194862171324,target,1.2390102301792116,35.60513782867558,61.36617433725114,9967.042954483783
2010-04-28 06:00:00+00:00,2010-04-28 12:00:00+00:00,LONG,0.93488,0.9320883086180185,0.9320883086180185,0.9390675370729723,stop,-1.0000000000000018,-30.916913819815424,-49.835214772419,9917.207739711364
2010-05-07 02:00:00+00:00,2010-05-07 08:00:00+00:00,SHORT,0.93101,0.9365210437871405,0.9365210437871405,0.9227434343192893,stop,-1.0,-58.110437871405125,-49.58603869855682,9867.621701012808
2010-05-31 00:00:00+00:00,2010-05-31 10:00:00+00:00,LONG,0.8911,0.8866644268248235,0.8866644268248235,0.8977533597627647,stop,-1.0000000000000018,-47.3557317517651,-49.33810850506412,9818.283592507743
