entry_time,exit_time,side,entry,exit,stop,target,reason,net_r,net_pips,pnl_usd,balance
2010-01-05 03:00:00+00:00,2010-01-05 05:00:00+00:00,LONG,1.44141,1.4469391803450842,1.437723879769944,1.4469391803450842,target,1.4022449825576841,53.791803450840945,70.11224912788421,10070.112249127884
2010-01-06 13:00:00+00:00,2010-01-06 16:00:00+00:00,SHORT,1.43547,1.4400236174674195,1.4400236174674195,1.4286395737988709,stop,-0.9999999999999953,-47.03617467419446,-50.350561245639184,10019.761687882245
2010-01-06 18:00:00+00:00,2010-01-07 06:00:00+00:00,LONG,1.4403,1.4357187413348407,1.4357187413348407,1.4471718879977387,stop,-1.00000000000001,-47.312586651592376,-50.09880843941172,9969.662879442832
2010-01-07 15:00:00+00:00,2010-01-08 13:00:00+00:00,SHORT,1.43154,1.4360612642837518,1.4360612642837518,1.4247581035743724,stop,-0.9999999999999988,-46.71264283751769,-49.8483143972141,9919.814565045619
2010-01-11 02:00:00+00:00,2010-01-13 02:00:00+00:00,LONG,1.44784,1.44755,1.4425416617191178,1.4557875074213233,time,-0.08075856845087029,-4.400000000001235,-4.005550117855884,9915.809014927763
2010-01-15 21:00:00+00:00,2010-01-19 10:00:00+00:00,SHORT,1.4376,1.431469150141596,1.441687233238936,1.431469150141596,target,1.411498853413563,59.808498584040635,69.98076527619205,9985.789780203955
2010-03-03 08:00:00+00:00,2010-03-03 15:00:00+00:00,LONG,1.36217,1.368498428491463,1.3579510476723582,1.368498428491463,target,1.4141670652647247,61.78428491462867,70.60787513910753,10056.397655343062
2010-03-09 22:00:00+00:00,2010-03-10 08:00:00+00:00,SHORT,1.35995,1.3545190530535847,1.3635706312976101,1.3545190530535847,target,1.4005471576503323,52.80946946415327,70.42229576196095,10126.819951105022
2010-03-10 19:00:00+00:00,2010-03-12 05:00:00+00:00,LONG,1.36394,1.3700277627269974,1.359881491515335,1.3700277627269974,target,1.410894797677991,59.37762726997514,71.43938793017882,10198.259339035201
2010-03-19 01:00:00+00:00,2010-03-19 09:00:00+00:00,SHORT,1.36148,1.3558613550627556,1.3652257632914964,1.3558613550627556,target,1.4037415849113344,54.68644937244399,71.57860363957045,10269.837942674772
2010-04-01 04:00:00+00:00,2010-04-01 11:00:00+00:00,LONG,1.35053,1.347124035352952,1.347124035352952,1.3556389469705719,stop,-0.9999999999999974,-35.55964647047899,-51.34918971337373,10218.488752961399
2010-04-06 04:00:00+00:00,2010-04-06 12:00:00+00:00,SHORT,1.3427,1.3376179572212075,1.346088028519195,1.3376179572212075,target,1.3940087684524156,49.32042778792539,71.2233146098029,10289.712067571201
2010-04-12 02:00:00+00:00,2010-04-12 11:00:00+00:00,LONG,1.36344,1.3579421539289531,1.3579421539289531,1.3716867691065702,stop,-1.000000000000007,-56.47846071046863,-51.44856033785637,10238.263507233345
2010-04-19 05:00:00+00:00,2010-04-20 09:00:00+00:00,SHORT,1.3465,1.350126718066063,1.350126718066063,1.3410599229009057,stop,-1.0000000000000129,-37.76718066062961,-51.19131753616739,10187.072189697177
2010-06-14 05:00:00+00:00,2010-06-14 09:00:00+00:00,LONG,1.21726,1.2242143925606517,1.212623738292899,1.2242143925606517,target,1.4216507531454994,68.04392560651668,72.41229425415281,10259.48448395133
2010-06-29 10:00:00+00:00,2010-06-30 06:00:00+00:00,SHORT,1.21923,1.223229292850918,1.223229292850918,1.213231060723623,stop,-0.999999999999986,-41.49292850918046,-51.29742241975593,10208.187061531575
2010-07-01 17:00:00+00:00,2010-07-01 19:00:00+00:00,LONG,1.24371,1.2523809058958948,1.2379293960694036,1.2523809058958948,target,1.43676866565556,85.20905895894698,73.33401651579537,10281.52107804737
2010-08-11 12:00:00+00:00,2010-08-11 14:00:00+00:00,SHORT,1.30112,1.2933481127806148,1.3063012581462567,1.2933481127806148,target,1.4296601309274024,76.21887219385265,73.49540385287025,10355.01648190024
2010-09-01 18:00:00+00:00,2010-09-03 12:00:00+00:00,LONG,1.2803,1.286692826432537,1.276038115711642,1.286692826432537,target,1.4150023038932662,62.42826432537024,73.26186089370792,10428.278342793948
2010-09-08 00:00:00+00:00,2010-09-08 06:00:00+00:00,SHORT,1.26913,1.2725888979462792,1.2725888979462792,1.2639416530805816,stop,-1.0000000000000153,-36.08897946279071,-52.141391713970535,10376.136951079978
2010-09-13 15:00:00+00:00,2010-09-14 14:00:00+00:00,LONG,1.28683,1.2933314181454474,1.2824957212363683,1.2933314181454474,target,1.4163745119858862,63.51418145447468,73.48247955192312,10449.619430631901
2010-10-19 19:00:00+00:00,2010-10-20 07:00:00+00:00,SHORT,1.37407,1.3805178050496774,1.3805178050496774,1.3643982924254836,stop,-0.9999999999999933,-65.97805049677457,-52.24809715315916,10397.371333478743
2010-10-21 09:00:00+00:00,2010-10-21 15:00:00+00:00,LONG,1.402,1.3957347680879053,1.3957347680879053,1.4113978478681417,stop,-1.000000000000003,-64.15231912094603,-51.98685666739387,10345.384476811349
2010-10-26 23:00:00+00:00,2010-10-27 06:00:00+00:00,SHORT,1.38532,1.378755004517289,1.3896966636551409,1.378755004517289,target,1.4171575295694765,64.14995482711167,73.30519753802191,10418.68967434937
2010-11-01 02:00:00+00:00,2010-11-01 11:00:00+00:00,LONG,1.39846,1.393578839423605,1.393578839423605,1.4057817408645927,stop,-0.9999999999999813,-50.31160576394983,-52.09344837174588,10366.596225977624
2010-11-08 23:00:00+00:00,2010-11-09 08:00:00+00:00,SHORT,1.39109,1.3835615678700368,1.3961089547533088,1.3835615678700368,target,1.4274514833467944,73.78432129963124,73.9890658001452,10440.58529177777
2010-12-06 04:00:00+00:00,2010-12-06 09:00:00+00:00,LONG,1.33436,1.3295753471987004,1.3295753471987004,1.3415369792019496,stop,-0.99999999999998,-49.346528012995826,-52.20292645888781,10388.382365318883
2010-12-08 12:00:00+00:00,2010-12-08 19:00:00+00:00,SHORT,1.32302,1.3275129291416703,1.3275129291416703,1.3162806062874948,stop,-1.0000000000000082,-46.4292914167021,-51.94191182659484,10336.440453492289
2010-12-13 20:00:00+00:00,2010-12-14 08:00:00+00:00,LONG,1.34013,1.3464523575160254,1.3359150949893166,1.3464523575160254,target,1.4140874774864383,61.723575160253894,73.08315503533844,10409.523608527626
2010-12-16 08:00:00+00:00,2010-12-17 01:00:00+00:00,SHORT,1.32359,1.3272589939119603,1.3272589939119603,1.3180865091320597,stop,-1.0000000000000226,-38.18993911960294,-52.047618042639314,10357.475990484987
