symbol,period,cost_pips,trades,net_pnl_usd,return_pct,max_drawdown_pct,avg_net_r,profit_factor,win_pct,ci_low,ci_high,adjusted_p
EURUSD,development,1.5,310,2123.968754419166,21.239687544191632,7.032875444256474,0.1277271866803541,1.2345518411654652,47.74193548387097,0.0218949252126256,0.22975258338600393,0.02997002997002997
EURUSD,development,3.0,310,1101.4215713246426,11.01421571324639,8.087730525991638,0.07052008218940077,1.1268203870408118,47.74193548387097,-0.029125652752073815,0.1692865292873767,0.2577422577422578
EURUSD,validation,1.5,150,-1350.6793391161114,-13.506793391161043,14.630693030131829,-0.19034414260586793,0.7046289968662057,34.66666666666667,-0.3450239959829397,-0.037364237115044434,1.0
EURUSD,validation,3.0,150,-1690.5600418087158,-16.905600418087086,17.677563358563255,-0.24411793835362255,0.6220908573402725,34.66666666666667,-0.3874576552820855,-0.10429950623003537,1.0
EURUSD,final_test,1.5,100,-461.6120690029263,-4.6161206900292795,6.6946482417369735,-0.09130290407121854,0.8446092946108207,39.0,-0.303240505011607,0.12201147277536081,1.0
EURUSD,final_test,3.0,100,-740.2323031744726,-7.402323031744739,8.825250467485999,-0.15095920953539774,0.7473193671606083,39.0,-0.3490613014917298,0.051650050230193034,1.0
EURCHF,development,1.5,226,-1819.6019800595498,-18.19601980059562,20.13195647464108,-0.17481890837877848,0.7099176955117273,36.72566371681416,-0.3004161252217849,-0.05518322993282982,1.0
EURCHF,development,3.0,226,-2478.3234538459487,-24.783234538459574,25.90109875195098,-0.24948727927481337,0.5901733358980712,36.72566371681416,-0.36589373688646615,-0.13506516801928786,1.0
EURCHF,validation,1.5,146,-876.6583763881151,-8.766583763881153,13.660112398526996,-0.12256984341020408,0.790458732220919,39.04109589041096,-0.32926351295176126,0.06892850802991889,1.0
EURCHF,validation,3.0,146,-1336.2500931782156,-13.362500931782106,15.609554326693342,-0.19378924291143354,0.6729427001468986,39.04109589041096,-0.3840297958776119,-0.01402343095877294,1.0
EURCHF,final_test,1.5,118,-1326.8164413110658,-13.26816441311064,14.68315074930548,-0.2382952034049871,0.6344218260954182,33.89830508474576,-0.4268543932472269,-0.06702412999990968,1.0
EURCHF,final_test,3.0,118,-1668.188682777727,-16.68188682777727,17.377413697508455,-0.3067391346769114,0.531746735987003,33.89830508474576,-0.4776948824449462,-0.15143266831595015,1.0
AUDCAD,development,1.5,328,-1980.872696966243,-19.808726969662416,19.949498663530694,-0.13133283360489967,0.7819143574645592,37.19512195121951,-0.2416522314813122,-0.02135867448305743,1.0
AUDCAD,development,3.0,328,-2582.438434945046,-25.824384349450447,25.90810761210971,-0.17918476541992284,0.7061367280831357,36.890243902439025,-0.282162263706706,-0.07699298554744696,1.0
AUDCAD,validation,1.5,134,179.49526546459037,1.7949526546459982,4.371261269541268,0.029911566878175953,1.0484022814454752,44.776119402985074,-0.13510086634580704,0.21824074513184807,1.0
AUDCAD,validation,3.0,134,-284.2627839113053,-2.84262783911301,7.5679628464992,-0.040113217274737635,0.9215716510407506,44.776119402985074,-0.19502616473884837,0.13637623500588988,1.0
AUDCAD,final_test,1.5,122,-1433.4733993506766,-14.334733993506854,18.914379363867802,-0.2502388550180392,0.621485250999381,33.60655737704918,-0.4709168033211901,-0.010978933315714305,1.0
AUDCAD,final_test,3.0,122,-1706.8200579079628,-17.068200579079694,20.19950694760749,-0.3037750223044235,0.5427475460617469,33.60655737704918,-0.5095896816547104,-0.08030002640842358,1.0
