entry_time,exit_time,side,entry,exit,stop,target,reason,net_r,net_pips,pnl_usd,balance
2010-04-05 23:00:00+00:00,2010-04-07 16:00:00+00:00,LONG,1.43245,1.4345902492518694,1.4310231671654203,1.4345902492518694,target,1.0656788630715355,18.402492518693972,53.28394315357677,10053.283943153578
2010-04-16 01:00:00+00:00,2010-04-19 09:00:00+00:00,SHORT,1.43365,1.4351027778626988,1.4351027778626988,1.431470833205952,stop,-1.0000000000000178,-17.527778626987065,-50.266419715768784,10003.01752343781
2010-04-26 03:00:00+00:00,2010-04-26 09:00:00+00:00,LONG,1.4356,1.4340223697690746,1.4340223697690746,1.4379664453463878,stop,-1.0000000000000455,-18.776302309253865,-50.01508761719132,9953.002435820617
2010-04-28 04:00:00+00:00,2010-04-28 12:00:00+00:00,SHORT,1.43305,1.434348921004461,1.434348921004461,1.4311016184933083,stop,-1.0000000000000027,-15.989210044611621,-49.76501217910322,9903.237423641514
2010-04-30 07:00:00+00:00,2010-04-30 09:00:00+00:00,LONG,1.4353,1.4341612162110513,1.4341612162110513,1.437008175683423,stop,-1.0000000000000702,-14.387837889487162,-49.51618711821104,9853.721236523303
2010-04-30 16:00:00+00:00,2010-06-01 00:00:00+00:00,SHORT,1.4327,1.4307657982681283,1.433989467821248,1.4307657982681283,target_gap,1.0281439548671543,16.34201731871754,50.65521961138767,9904.37645613469
2010-08-02 23:00:00+00:00,2010-08-03 16:00:00+00:00,LONG,1.369,1.3749460825982847,1.3650359449344769,1.3749460825982847,target,1.3241110894500283,56.46082598284663,65.57247349827858,9969.948929632968
2010-08-12 02:00:00+00:00,2010-08-12 05:00:00+00:00,SHORT,1.36065,1.3647482631390404,1.3647482631390404,1.354502605291439,stop,-0.9999999999999954,-43.98263139040492,-49.84974464816462,9920.099184984803
2010-09-06 13:00:00+00:00,2010-09-06 14:00:00+00:00,LONG,1.308,1.3044123961809662,1.3044123961809662,1.3133814057285509,stop,-1.0000000000000036,-38.87603819033891,-49.600495924924196,9870.49868905988
2010-09-06 17:00:00+00:00,2010-09-06 23:00:00+00:00,SHORT,1.30225,1.2968507632493456,1.3058494911671028,1.2968507632493456,target,1.307667214038803,50.99236750654346,64.53663760948295,9935.035326669362
2010-09-15 10:00:00+00:00,2010-09-16 08:00:00+00:00,LONG,1.30075,1.3072137027440813,1.2964408648372794,1.3072137027440813,target,1.337279668848505,61.63702744081256,66.42960375823301,10001.464930427595
2010-10-12 21:00:00+00:00,2010-10-13 07:00:00+00:00,SHORT,1.3323,1.3363615262524724,1.3363615262524724,1.3262077106212915,stop,-0.9999999999999917,-43.61526252472358,-50.007324652137555,9951.457605775458
2010-10-13 18:00:00+00:00,2010-10-14 07:00:00+00:00,LONG,1.33845,1.3344417621182012,1.3344417621182012,1.344462356822698,stop,-0.9999999999999969,-43.08237881798715,-49.757288028877134,9901.700317746581
2010-10-19 09:00:00+00:00,2010-10-19 10:00:00+00:00,SHORT,1.3346,1.3380612289940212,1.3380612289940212,1.3294081565089682,stop,-0.9999999999999871,-37.61228994021237,-49.508501588732265,9852.191816157849
