symbol,variant,trades,net_pnl_usd,avg_r,profit_factor,max_drawdown_pct,last_30pct_avg_r,extra_trades_vs_baseline
EURUSD,"BASELINE (strict AND, tum filtreler ON)",4,-4.119994603269177,-0.019310448393136198,0.9274333104718521,0.4999999999999917,0.012923397005181525,
EURUSD,AGIRLIKLI PUAN esik=40,11,-310.3115987487832,-0.5686350788518163,0.27980299137772546,3.6618070809429333,-0.5370443798501638,7.0
EURUSD,AGIRLIKLI PUAN esik=50,11,-310.3115987487832,-0.5686350788518163,0.27980299137772546,3.6618070809429333,-0.5370443798501638,7.0
EURUSD,AGIRLIKLI PUAN esik=60,11,-310.3115987487832,-0.5686350788518163,0.27980299137772546,3.6618070809429333,-0.5370443798501638,7.0
GBPUSD,"BASELINE (strict AND, tum filtreler ON)",2,-11.298724353075812,-0.1130164207989715,0.0,0.11298724353076978,-0.07982298643535587,
GBPUSD,AGIRLIKLI PUAN esik=40,4,-23.57858008064212,-0.11718145982011706,0.5644181392704238,0.539711935751595,-0.49096567279143316,2.0
GBPUSD,AGIRLIKLI PUAN esik=50,4,-23.57858008064212,-0.11718145982011706,0.5644181392704238,0.539711935751595,-0.49096567279143316,2.0
GBPUSD,AGIRLIKLI PUAN esik=60,4,-23.57858008064212,-0.11718145982011706,0.5644181392704238,0.539711935751595,-0.49096567279143316,2.0
EURCHF,"BASELINE (strict AND, tum filtreler ON)",5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,
EURCHF,AGIRLIKLI PUAN esik=40,14,-409.7438983339171,-0.5959074023971599,0.11946343890301926,4.097438983339143,-0.5807582558652913,9.0
EURCHF,AGIRLIKLI PUAN esik=50,14,-409.7438983339171,-0.5959074023971599,0.11946343890301926,4.097438983339143,-0.5807582558652913,9.0
EURCHF,AGIRLIKLI PUAN esik=60,14,-409.7438983339171,-0.5959074023971599,0.11946343890301926,4.097438983339143,-0.5807582558652913,9.0
AUDCAD,"BASELINE (strict AND, tum filtreler ON)",5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,
AUDCAD,AGIRLIKLI PUAN esik=40,9,-194.1917779807593,-0.4334359586958938,0.3612152499118479,2.4751246878125306,-1.000000000000014,4.0
AUDCAD,AGIRLIKLI PUAN esik=50,9,-194.1917779807593,-0.4334359586958938,0.3612152499118479,2.4751246878125306,-1.000000000000014,4.0
AUDCAD,AGIRLIKLI PUAN esik=60,9,-194.1917779807593,-0.4334359586958938,0.3612152499118479,2.4751246878125306,-1.000000000000014,4.0
USDJPY,"BASELINE (strict AND, tum filtreler ON)",1,-4.698025344470248,-0.09396050688940497,0.0,0.04698025344470807,,
USDJPY,AGIRLIKLI PUAN esik=40,11,-191.8057138122693,-0.3502791626902837,0.36097771612228463,2.425904220710213,-0.7190481810063742,10.0
USDJPY,AGIRLIKLI PUAN esik=50,11,-191.8057138122693,-0.3502791626902837,0.36097771612228463,2.425904220710213,-0.7190481810063742,10.0
USDJPY,AGIRLIKLI PUAN esik=60,11,-191.8057138122693,-0.3502791626902837,0.36097771612228463,2.425904220710213,-0.7190481810063742,10.0
