symbol,model,session,trades,net_pnl_usd,avg_r,profit_factor,max_drawdown_pct,last_30pct_avg_r
EURUSD,Düzeltme + Tepki,Londra,0,0.0,,,0.0,
EURUSD,Düzeltme + Tepki,Tüm Gün,1,-50.00000000000001,-1.0000000000000002,0.0,0.5,
EURUSD,Trend + Yapı,Londra,4,-100.6090342552517,-0.5045804172903611,0.0,1.0060903425525247,-0.5791374611420693
EURUSD,Trend + Yapı,Tüm Gün,8,-231.30677285507264,-0.5836226514297973,0.04685225389138106,2.3130677285507044,-0.658502888223019
EURCHF,Düzeltme + Tepki,Londra,4,-54.36756501310877,-0.270553742837998,0.5025051614439925,1.0868582214683504,-0.5902585505096732
EURCHF,Düzeltme + Tepki,Tüm Gün,4,-54.36756501310877,-0.270553742837998,0.5025051614439925,1.0868582214683504,-0.5902585505096732
EURCHF,Trend + Yapı,Londra,11,-209.453549855067,-0.3831953852735065,0.312582379540106,2.9405898854998664,-0.0646529600215926
EURCHF,Trend + Yapı,Tüm Gün,16,-339.2473193186928,-0.4299655505771339,0.2102921038884231,3.6984689899852174,-0.3908567667862107
AUDCAD,Düzeltme + Tepki,Londra,1,-49.999999999999574,-0.9999999999999915,0.0,0.5,
AUDCAD,Düzeltme + Tepki,Tüm Gün,3,-149.25125000000133,-1.0000000000000089,0.0,1.4925125000000117,-0.9999999999999913
AUDCAD,Trend + Yapı,Londra,4,-180.52849091432876,-0.9087556525301121,0.0,1.8052849091432837,-0.8175113050602019
AUDCAD,Trend + Yapı,Tüm Gün,7,-327.08533062137076,-0.9478603728743489,0.0,3.270853306213703,-0.8783408700401346
